ID;LNG_LOJA;LAT_LOJA;LNG_FRIGO;LAT_FRIGO
boi1;-35,3285;-5,7921;-44,1392295;-19,9488162
boi3;-35,2099;-5,8455;-61,8057425;-11,7254349
boi4;-35,2099;-5,8455;-48,42480679;-7,633314911
boi5;-35,2099;-5,8455;-48,42480679;-7,633314911
boi6;-35,2294;-5,8851;-54,61574357;-20,45802999
boi7;-35,2296;-5,8854;-54,61574357;-20,45802999
boi8;-35,2296;-5,8854;-42,8337279;-5,10068111
boi9;-35,2296;-5,8854;-52,4465474;-15,3451417
boi10;-35,2296;-5,8854;-49,89514344;-7,340632794
boi11;-35,2296;-5,8854;-50,61128172;-9,364055729
boi12;-35,2296;-5,8854;-35,48996498;-6,852715
boi13;-35,2296;-5,8854;-50,0245774;-8,0544324
boi14;-35,2296;-5,8854;-50,57021361;-14,74758948
boi15;-35,2296;-5,8854;-56,04159807;-10,70019918
boi16;-35,2296;-5,8854;-50,01696035;-5,629799735
boi17;-35,2296;-5,8854;-45,93714428;-22,230303
boi18;-35,2296;-5,8854;-46,92209251;-23,449453
boi19;-35,2296;-5,8853;-41,88620318;-21,21059108
boi20;-35,2296;-5,8853;-47,07154764;-23,43004085
boi21;-35,2296;-5,8853;-56,04159807;-10,70019918
boi22;-35,2296;-5,8854;-34,91058339;-7,82837199
boi23;-35,2296;-5,8854;-46,82124801;-22,4360055
boi24;-35,2296;-5,8854;-34,91058339;-7,82837199
boi25;-35,2296;-5,8854;-54,56456909;-19,39552137
boi26;-35,2296;-5,8854;-50,92968093;-17,7945434
boi27;-35,2296;-5,8854;-51,40520808;-26,90316461
boi28;-35,2296;-5,8853;-56,14466374;-15,65806482
boi29;-35,2788;-5,9118;-48,20870525;-7,19132894
boi30;-35,2788;-5,9118;-54,61574357;-20,45802999
boi31;-35,2787;-5,9118;-46,51591568;-18,59257082
boi32;-35,2211;-5,8703;-52,61703111;-27,10683702
boi33;-35,2211;-5,8703;-50,01696035;-5,629799735
boi34;-35,2211;-5,8703;-50,0245774;-8,0544324
boi35;-35,2211;-5,8703;-54,61574357;-20,45802999
boi36;-35,2211;-5,8703;-54,61574357;-20,45802999
boi37;-35,2211;-5,8703;-50,57021361;-14,74758948
boi38;-35,2211;-5,8703;-61,1742191;-11,6959639
boi39;-35,2211;-5,8703;-46,88292015;-23,36097138
boi40;-35,2211;-5,8703;-34,88894194;-8,062762483
boi41;-35,2211;-5,8703;-49,75142339;-21,6723465
boi42;-35,2211;-5,8703;-35,37613082;-8,51111604
boi43;-35,2211;-5,8703;-38,66401754;-3,736487
boi44;-35,2194;-5,8676;-41,88620318;-21,21059108
boi45;-35,2194;-5,8676;-46,05801936;-22,61109716
boi46;-35,2195;-5,8675;-56,14466374;-15,65806482
boi47;-35,2195;-5,8675;-50,92968093;-17,7945434
boi48;-35,2194;-5,8675;-54,56456909;-19,39552137
boi49;-35,2195;-5,8676;-34,91058339;-7,82837199
boi50;-35,2195;-5,8676;-52,61703111;-27,10683702
