Cod_setor;V011
240010905000001;559,63
240010905000002;483,19
240010905000003;682,83
240010905000004;885,82
240010905000005;1186,61
240010905000006;1197,45
240010905000007;455,21
240010905000008;460,09
240010905000009;497,02
240010905000010;562,39
240010905000011;276,84
240010905000012;415,43
240010905000013;537,79
240010905000014;817,14
240010905000015;599,75
240010905000016;955,82
240010905000017;578
240010905000018;627,78
240010905000019;730,6
240010905000020;961,81
240010905000021;1143,08
240010905000022;820
240010905000023;639,65
240010905000024;464,58
240010905000025;663,41
240010905000026;791,31
240010905000027;424,94
240010905000028;693,16
240020805000001;1733,06
240020805000002;1591,19
240020805000003;786,99
240020805000004;1092,37
240020805000005;953,55
240020805000006;782,24
240020805000007;625,15
240020805000008;555,87
240020805000009;623,85
240020805000010;585,98
240020805000011;822,32
240020805000012;752,14
240020805000013;1495,97
240020805000014;548,29
240020805000015;1526,64
240020805000016;1235,39
240020805000017;675,04
240020805000018;505,38
240020805000019;814,95
240020805000020;1469,05
240020805000021;770,67
240020805000022;376,51
240020805000023;752,21
240020805000024;1077,32
240020805000025;575,62
240020805000026;649,62
240020805000027;685,44
240020805000028;597,72
240020805000029;519,47
240020805000030;429,31
240020805000031;431,87
240020805000032;438,75
240020805000033;556,61
240020805000034;305,78
240020805000035;396,91
240020805000036;376,18
240020805000037;358,09
240020805000038;370,69
240020805000039;432
240020805000040;614,87
240020805000041;515,37
240020805000042;439,43
240020805000043;419,99
240020805000044;512,65
240020805000045;456,65
240020805000046;515,43
240020805000047;435,47
240020805000048;422,22
240020805000049;518,99
240020805000050;490,99
240020805000051;2000
240020805000052;457,73
240020805000053;253,65
240020805000054;340,29
240020805000055;460,64
240020805000056;318,21
240020805000057;303,33
240020805000058;445,63
240020805000059;442,36
240020805000060;657,98
240020805000061;601,52
240020805000062;511,82
240020805000063;1366,4
240020805000064;488,77
240020805000065;458,56
240020805000066;864,62
240020805000067;473,85
240020805000068;711,86
240020805000069;758,5
240020805000070;440,54
240020805000071;828,93
240020805000072;457,74
240030705000001;710,25
240030705000002;463,49
240030705000003;385,09
240030705000004;689,14
240030705000005;758,35
240030705000006;385,04
240030705000007;348,04
240030705000008;420,86
240030705000009;367,59
240030705000010;425,82
240030705000011;327,2
240030705000012;306,75
240030705000013;458,09
240030705000014;687,49
240030705000015;355,98
240030705000016;432,62
240030705000017;305,39
240030705000018;319,72
240030705000019;702,26
240030705000020;371,63
240030705000021;497,95
240040605000001;516,94
240040605000002;390,89
240040605000003;598,47
240040605000004;454,46
240050505000001;1026,05
240050505000002;889,49
240050505000003;437,23
240050505000004;467,38
240050505000005;429,71
240050505000006;470,38
240050505000007;726,84
240050505000008;1001,2
240050505000009;391,31
240050505000010;344,52
240050505000011;327,46
240050505000012;443,35
240050505000013;347,97
240050505000014;350,53
240050505000015;426,03
240050505000016;401,44
240050505000017;599,21
240050505000018;397,15
240050505000019;792,55
240050505000020;366,93
240060405000001;608,47
240060405000002;547,6
240060405000003;435,35
240060405000004;440,79
240060405000005;423,44
240060405000006;389,53
240060405000007;707,69
240070305000001;861,92
240070305000002;680,54
240070305000003;695,92
240070305000004;718,72
240070305000005;900,61
240070305000006;532,21
240070305000007;653,44
240070305000008;588,67
240070305000009;999,57
240070305000010;529,46
240070305000011;982,75
240070305000012;741,38
240070305000013;786,65
240070305000014;772,24
240070305000015;888,7
240070305000016;454,48
240070305000017;685,62
240070305000018;900,23
240080205000001;577,55
240080205000002;852,38
240080205000003;982,03
240080205000004;871,8
240080205000005;744,34
240080205000006;410,02
240080205000007;612,93
240080205000008;591,48
240080205000009;451,67
240080205000010;423,37
240080205000011;741,36
240080205000012;458,29
240080205000013;569,76
240080205000014;478,8
240080205000015;625,6
240090105000001;582,94
240090105000002;544,12
240090105000003;404,42
240090105000004;373,49
240090105000005;396,17
240090105000006;331,77
240090105000007;313,92
240090105000008;421,54
240090105000009;361,86
240090105000010;400,22
240090105000011;406,92
240100805000001;1075,06
240100805000002;763,55
240100805000003;505,16
240100805000004;942,58
240100805000005;623,55
240100805000006;688,25
240100805000007;833,47
240100805000008;683,84
240100805000009;716,89
240100805000010;541,08
240100805000011;596,79
240100805000012;378,29
240100805000013;541,46
240100805000014;730,62
240100805000015;378,31
240100805000016;376,11
240100805000017;367,85
240100805000018;306,66
240100805000019;333,13
240100805000020;359,9
240100805000021;397,3
240100805000022;356,78
240100805000023;427,06
240100805000024;397,11
240100805000025;465,7
240100805000026;343,13
240100805000027;380,6
240100805000028;310,53
240100805000029;369,4
240100805000030;465,77
240100805000031;407,72
240100805000032;406,04
240100805000033;860,64
240100805000034;608,5
240100805000035;571,59
240100805000036;418,98
240100805000037;364,5
240100805000038;367,17
240100805000039;361,32
240100805000040;404,2
240100805000041;366,18
240100805000042;377,01
240100805000043;354,95
240100805000044;345,58
240100805000045;450,89
240100805000046;367
240100805000047;353,86
240100805000048;455,28
240100805000049;400,34
240100805000050;367,96
240110705000001;747,43
240110705000002;936,98
240110705000003;577,27
240110705000004;1063,71
240110705000005;1176,45
240110705000006;1244,5
240110705000007;1029,43
240110705000008;612,01
240110705000009;583,7
240110705000010;1617,77
240110705000011;810,92
240110705000012;768,34
240110705000013;813,82
240110705000014;541,03
240110705000015;596,38
240110705000016;437,43
240110705000017;605,79
240110705000018;473,89
240110705000019;551,84
240110705000020;647,2
240110705000021;500,92
240110705000022;529,48
240110705000023;450,93
240110705000024;417,05
240110705000025;549,79
240110705000026;696,93
240110705000027;892,94
240110705000028;1041,66
240110705000029;564,79
240110705000030;598,09
240110705000031;569,57
240110705000032;911,2
240110705000033;711,49
240110705000034;370,8
240110705000035;608,37
240120605000001;761,61
240120605000002;707,64
240120605000003;497,09
240120605000004;605,09
240120605000005;820,88
240120605000006;565,67
240120605000007;572,97
240120605000008;718,21
240120605000009;474,42
240120605000010;507
240120605000011;451,49
240120605000012;586,07
240120605000013;457,69
240120605000014;518,48
240120605000015;898,41
240120605000016;430,54
240120605000017;714,38
240120605000018;576,26
240120605000019;383,53
240130505000001;521,72
240130505000002;824,96
240130505000003;635,62
240130505000004;404,65
240130505000005;365,3
240130505000006;447,46
240130505000007;341,16
240130505000008;358,19
240130505000009;393,33
240130505000010;383,22
240130505000011;404,26
240130505000012;427,37
240130505000013;372,48
240130505000014;1329,59
240130505000015;1164,05
240130505000016;458,08
240130505000017;456,85
240140405000001;576,8
240140405000002;1047,6
240140405000003;629,8
240140405000004;409,55
240140405000005;387
240140405000006;472,2
240140405000007;1116,89
240140405000008;548,24
240140405000009;476,83
240140405000010;703,86
240140405000011;699,57
240145305000001;625,36
240145305000002;423,41
240145305000003;538,16
240145305000004;697,75
240145305000005;555,72
240145305000006;551,92
240145305000007;609,46
240145305000008;578,31
240145305000009;539,77
240145305000010;437,71
240145305000011;413,48
240145305000012;497,24
240145305000013;440,37
240145305000014;350,61
240145305000015;463,54
240145305000016;579,36
240145305000017;569,5
240145305000018;344,62
240145305000019;449,76
240145305000020;442,5
240145305000021;528,41
240145305000022;471,6
240145305000023;413,96
